[01:13:19 AM]	=============== Start Trace ===============
[01:24:14 AM]	CNtlWorldShadow::LoadSwapFile (141):  file open failed. (13149_sec.sdw)
[01:24:14 AM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (13149_sec.objt)
[01:24:14 AM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (13149_sec.eff)
[01:24:14 AM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (13149_sec.ocq)
[01:24:14 AM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (13149_sec.hho)
[01:24:14 AM]	CNtlWorldShadow::LoadSwapFile (141):  file open failed. (13276_sec.sdw)
[01:24:14 AM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (13276_sec.objt)
[01:24:14 AM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (13276_sec.eff)
[01:24:14 AM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (13276_sec.ocq)
[01:24:14 AM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (13276_sec.hho)
[01:24:14 AM]	CNtlWorldShadow::LoadSwapFile (141):  file open failed. (13277_sec.sdw)
[01:24:14 AM]	CNtlPLObject::LoadSwapFile (3322):  file open failed. (13277_sec.objt)
[01:24:14 AM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (13277_sec.eff)
[01:24:14 AM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (13277_sec.ocq)
[01:24:14 AM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (13277_sec.hho)
[01:24:51 AM]	 === < SABER > Trace End === 
