[22:06:23 PM]	=============== Start Trace ===============

[22:06:24 PM]	 === < SABER > Trace Start === 
[22:06:44 PM]	CNtlPLPropertyContainer::AddProp (258):  prop defined.(A_HMY_F_AD)
[22:06:49 PM]	CNtlPLVisualManager::GetHeightFieldWorldHeight (1170):  GetWorldHeight : Failed : IN(0,0,0), OUT_HEIGHT(-999)
[22:08:15 PM]	CNtlWorldShadow::LoadSwapFile (141):  file open failed. (8006_sec.sdw)
[22:08:15 PM]	CNtlPLObject::LoadSwapFile (3331):  file open failed. (8006_sec.objt)
[22:08:15 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8006_sec.eff)
[22:08:15 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8006_sec.ocq)
[22:08:15 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8006_sec.hho)
[22:08:15 PM]	CNtlWorldShadow::LoadSwapFile (141):  file open failed. (8007_sec.sdw)
[22:08:15 PM]	CNtlPLObject::LoadSwapFile (3331):  file open failed. (8007_sec.objt)
[22:08:15 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8007_sec.eff)
[22:08:15 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8007_sec.ocq)
[22:08:15 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8007_sec.hho)
[22:08:15 PM]	CNtlWorldShadow::LoadSwapFile (141):  file open failed. (8134_sec.sdw)
[22:08:15 PM]	CNtlPLObject::LoadSwapFile (3331):  file open failed. (8134_sec.objt)
[22:08:15 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8134_sec.eff)
[22:08:15 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8134_sec.ocq)
[22:08:15 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8134_sec.hho)
[22:08:15 PM]	CNtlWorldShadow::LoadSwapFile (141):  file open failed. (8135_sec.sdw)
[22:08:15 PM]	CNtlPLObject::LoadSwapFile (3331):  file open failed. (8135_sec.objt)
[22:08:15 PM]	CNtlInstanceEffect::LoadSwapFile (801):  file open failed. (8135_sec.eff)
[22:08:15 PM]	CNtlPLOccluder_Quad::LoadSwapFile (830):  file open failed. (8135_sec.ocq)
[22:08:15 PM]	CNtlPLHeatHazeObject::LoadSwapFile (724):  file open failed. (8135_sec.hho)
[22:08:15 PM]	CNtlWorldShadow::LoadSwapFile (141):  file open failed. (8262_sec.sdw)
